GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservice,com.telstra.codechallenge.quotes,SpringBootQuotesService,40,0,0,0,5,0,3,0,3,0
microservice,com.telstra.codechallenge.quotes,Quote.Value,129,0,22,0,3,0,20,0,9,0
microservice,com.telstra.codechallenge.quotes,Quote,126,0,22,0,3,0,20,0,9,0
microservice,com.telstra.codechallenge.quotes,SpringBootQuotesController,18,0,0,0,7,0,4,0,4,0
microservice,com.telstra.codechallenge.helloworld,HelloWorldController,23,0,0,0,3,0,2,0,2,0
microservice,com.telstra.codechallenge.helloworld,HelloWorld,15,0,0,0,6,0,3,0,3,0
microservice,com.telstra.codechallenge.searchrepos,HtmlUrl,31,0,0,0,13,0,9,0,9,0
microservice,com.telstra.codechallenge.searchrepos,SpringBootSearchRepoController,25,4,0,0,8,1,3,1,3,1
microservice,com.telstra.codechallenge.searchrepos,Quote.Value,129,0,22,0,3,0,20,0,9,0
microservice,com.telstra.codechallenge.searchrepos,Item,17,0,0,0,7,0,5,0,5,0
microservice,com.telstra.codechallenge.searchrepos,Repo,17,7,0,0,7,3,5,2,5,2
microservice,com.telstra.codechallenge.searchrepos,Quote,126,0,22,0,3,0,20,0,9,0
microservice,com.telstra.codechallenge.searchrepos,Name,10,0,0,0,4,0,3,0,3,0
microservice,com.telstra.codechallenge.searchrepos,SpringBootSearchRepoService,189,0,2,0,35,0,4,0,3,0
microservice,com.telstra.codechallenge,MicroServiceMain,12,0,0,0,4,0,3,0,3,0
microservice,com.telstra.codechallenge,SecurityConfiguration,16,0,0,0,3,0,2,0,2,0
